Breakout,Agency Operated,Contractor Operated,Security ATO,Systems in Ongoing Authorization
Department of Health and Human Services - Food and Drug Administration - M,68,17,85,85
Department of Health and Human Services - Food and Drug Administration - L,10,6,16,16
Department of Health and Human Services - Health Resources and Services Administration - H,0,1,1,0
Department of Health and Human Services - Health Resources and Services Administration - M,25,15,40,0
Department of Health and Human Services - Health Resources and Services Administration - L,3,3,6,0
Department of Health and Human Services - Indian Health Services - H,20,0,20,0
Department of Health and Human Services - Indian Health Services - M,13,0,13,0
Department of Health and Human Services - Indian Health Services - L,0,0,0,0
Department of Health and Human Services - National Institutes of Health - H,9,0,9,0
Department of Health and Human Services - National Institutes of Health - M,53,1,54,0
Department of Health and Human Services - National Institutes of Health - L,2,1,3,0
Department of Health and Human Services - Office of the Inspector General - H,0,0,0,0
Department of Health and Human Services - Office of the Inspector General - M,13,0,13,0
Department of Health and Human Services - Office of the Inspector General - L,0,0,0,0
Department of Health and Human Services - Office of the Secretary - H,5,2,7,0
Department of Health and Human Services - Office of the Secretary - M,35,54,85,0
Department of Health and Human Services - Office of the Secretary - L,6,20,25,0
Department of Health and Human Services - Substance Abuse and Mental Health Services Administration - H,0,0,0,0
Department of Health and Human Services - Substance Abuse and Mental Health Services Administration - M,7,11,18,0
Department of Health and Human Services - Substance Abuse and Mental Health Services Administration - L,1,6,7,0
Department of Homeland Security - Customs and Border Protection - H,16,0,16,9
Department of Homeland Security - Customs and Border Protection - M,126,1,127,42
Department of Homeland Security - Customs and Border Protection - L,0,0,0,0
Department of Homeland Security - Department of Homeland Security Headquarters - H,20,5,21,3
Department of Homeland Security - Department of Homeland Security Headquarters - M,42,16,55,18
Department of Homeland Security - Department of Homeland Security Headquarters - L,2,1,3,0
Department of Homeland Security - Federal Emergency Management Agency - H,18,5,16,0
Department of Homeland Security - Federal Emergency Management Agency - M,42,16,57,1
Department of Homeland Security - Federal Emergency Management Agency - L,4,2,6,0
Department of Homeland Security - Federal Law Enforcement Training Center - H,0,0,0,0
Department of Homeland Security - Federal Law Enforcement Training Center - M,9,3,9,6
Department of Homeland Security - Federal Law Enforcement Training Center - L,0,1,1,0
Department of Homeland Security - Immigration and Customs Enforcement - H,18,1,19,6
Department of Homeland Security - Immigration and Customs Enforcement - M,51,10,61,38
Department of Homeland Security - Immigration and Customs Enforcement - L,3,0,3,2
Department of Homeland Security - Office of the Inspector General - H,3,0,3,2
Department of Homeland Security - Office of the Inspector General - M,3,0,3,0
Department of Homeland Security - Office of the Inspector General - L,0,0,0,0
Department of Homeland Security - Science and Technology - H,3,0,3,0
Department of Homeland Security - Science and Technology - M,18,9,27,10
Department of Homeland Security - Science and Technology - L,3,0,3,0
Department of Homeland Security - The Cybersecurity and Infrastructure Security Agency - H,8,3,11,0
Department of Homeland Security - The Cybersecurity and Infrastructure Security Agency - M,6,11,17,0
Department of Homeland Security - The Cybersecurity and Infrastructure Security Agency - L,0,2,2,0
Department of Homeland Security - Transportation Security Administration - H,19,10,26,3
Department of Homeland Security - Transportation Security Administration - M,24,24,44,11
Department of Homeland Security - Transportation Security Administration - L,0,1,1,1
Department of Homeland Security - United States Citizenship and Immigration Services - H,3,0,3,3
Department of Homeland Security - United States Citizenship and Immigration Services - M,30,3,31,30
Department of Homeland Security - United States Citizenship and Immigration Services - L,1,0,1,1
Department of Homeland Security - United States Secret Service - H,9,1,10,0
Department of Homeland Security - United States Secret Service - M,22,2,24,0
Department of Homeland Security - United States Secret Service - L,0,0,0,0
Department of Housing and Urban Development - Administration - H,0,0,0,0
Department of Housing and Urban Development - Administration - M,1,4,4,4
Department of Housing and Urban Development - Administration - L,0,1,1,1
Department of Housing and Urban Development - Chief Financial Officer - H,0,0,0,0
Department of Housing and Urban Development - Chief Financial Officer - M,0,6,6,6
Department of Housing and Urban Development - Chief Financial Officer - L,0,1,1,1
Department of Housing and Urban Development - Chief Procurement Officer - H,0,0,0,0
Department of Housing and Urban Development - Chief Procurement Officer - M,0,0,0,0
Department of Housing and Urban Development - Chief Procurement Officer - L,0,0,0,0
Department of Housing and Urban Development - Community Planning and Development - H,0,0,0,0
Department of Housing and Urban Development - Community Planning and Development - M,3,0,3,3
Department of Housing and Urban Development - Community Planning and Development - L,0,0,0,0
Department of Housing and Urban Development - Enforcement Center - H,0,0,0,0
Department of Housing and Urban Development - Enforcement Center - M,0,0,0,0
Department of Housing and Urban Development - Enforcement Center - L,0,0,0,0
Department of Housing and Urban Development - Fair Housing and Equal Opportunity - H,0,0,0,0
Department of Housing and Urban Development - Fair Housing and Equal Opportunity - M,0,1,1,1
Department of Housing and Urban Development - Fair Housing and Equal Opportunity - L,0,0,0,0
Department of Housing and Urban Development - Government National Mortgage Association - H,0,0,0,0
Department of Housing and Urban Development - Government National Mortgage Association - M,1,7,8,8
Department of Housing and Urban Development - Government National Mortgage Association - L,0,0,0,0
Department of Housing and Urban Development - Housing Programs - H,0,0,0,0
Department of Housing and Urban Development - Housing Programs - M,20,6,26,26
Department of Housing and Urban Development - Housing Programs - L,1,1,1,1
Department of Housing and Urban Development - Office of Departmental Equal Employment Opportunity - H,0,0,0,0
Department of Housing and Urban Development - Office of Departmental Equal Employment Opportunity - M,0,1,1,1
Department of Housing and Urban Development - Office of Departmental Equal Employment Opportunity - L,0,0,0,0
Department of Housing and Urban Development - Office of Departmental Operations and Coordinations - H,0,0,0,0
Department of Housing and Urban Development - Office of Departmental Operations and Coordinations - M,0,0,0,0
Department of Housing and Urban Development - Office of Departmental Operations and Coordinations - L,0,0,0,0
Department of Housing and Urban Development - Office of Field  Policy and Management - H,0,0,0,0
Department of Housing and Urban Development - Office of Field  Policy and Management - M,2,0,2,2
Department of Housing and Urban Development - Office of Field  Policy and Management - L,0,0,0,0
Department of Housing and Urban Development - Office of Public Affairs - H,0,0,0,0
Department of Housing and Urban Development - Office of Public Affairs - M,1,0,0,0
Department of Housing and Urban Development - Office of Public Affairs - L,0,0,0,0
Department of Housing and Urban Development - Office of the Chief Information Officer - H,0,0,0,0
Department of Housing and Urban Development - Office of the Chief Information Officer - M,4,20,21,21
Department of Housing and Urban Development - Office of the Chief Information Officer - L,1,1,2,2
Department of Housing and Urban Development - Office of the General Counsel - H,0,0,0,0
Department of Housing and Urban Development - Office of the General Counsel - M,0,3,2,2
Department of Housing and Urban Development - Office of the General Counsel - L,0,0,0,0
Department of Housing and Urban Development - Office of the Inspector General - H,0,0,0,0
Department of Housing and Urban Development - Office of the Inspector General - M,0,1,1,1
Department of Housing and Urban Development - Office of the Inspector General - L,0,0,0,0
Department of Housing and Urban Development - Policy Development and Research - H,0,0,0,0
Department of Housing and Urban Development - Policy Development and Research - M,2,2,2,2
Department of Housing and Urban Development - Policy Development and Research - L,0,1,1,1
Department of Housing and Urban Development - Public and Indian Housing Programs - H,0,0,0,0
Department of Housing and Urban Development - Public and Indian Housing Programs - M,8,3,10,10
Department of Housing and Urban Development - Public and Indian Housing Programs - L,1,0,1,1
Department of Housing and Urban Development - Real Estate Assessment Center - H,0,0,0,0
Department of Housing and Urban Development - Real Estate Assessment Center - M,0,0,0,0
Department of Housing and Urban Development - Real Estate Assessment Center - L,0,0,0,0
Department of Justice -  Offices Boards Divisions - H,1,0,1,1
Department of Justice -  Offices Boards Divisions - M,38,8,46,46
Department of Justice -  Offices Boards Divisions - L,1,0,1,1
"Department of Justice - Bureau of Alcohol, Tobacco, Firearms, and Explosives - H",6,0,6,6
"Department of Justice - Bureau of Alcohol, Tobacco, Firearms, and Explosives - M",24,0,24,24
"Department of Justice - Bureau of Alcohol, Tobacco, Firearms, and Explosives - L",2,0,2,2
Department of Justice - Drug Enforcement Administration - H,7,0,7,7
Department of Justice - Drug Enforcement Administration - M,19,2,21,21
Department of Justice - Drug Enforcement Administration - L,0,0,0,0
Department of Justice - Executive Office for U.S. Attorneys - H,0,0,0,0
Department of Justice - Executive Office for U.S. Attorneys - M,36,0,36,36
Department of Justice - Executive Office for U.S. Attorneys - L,0,0,0,0
Department of Justice - Federal Bureau of Investigation - H,30,1,31,31
Department of Justice - Federal Bureau of Investigation - M,36,7,43,43
Department of Justice - Federal Bureau of Investigation - L,5,0,5,5
Department of Justice - Federal Bureau of Prisons - H,2,0,2,2
Department of Justice - Federal Bureau of Prisons - M,6,6,12,12
Department of Justice - Federal Bureau of Prisons - L,0,0,0,0
Department of Justice - Justice Management Division - H,13,3,16,16
Department of Justice - Justice Management Division - M,16,9,25,25
Department of Justice - Justice Management Division - L,4,0,4,4
Department of Justice - Office of Justice Programs - H,0,0,0,0
Department of Justice - Office of Justice Programs - M,14,7,21,21
Department of Justice - Office of Justice Programs - L,0,0,0,0
Department of Justice - Office of the Inspector General - H,2,1,3,3
Department of Justice - Office of the Inspector General - M,0,3,3,3
Department of Justice - Office of the Inspector General - L,0,1,1,1
Department of Justice - U.S. Marshals Service - H,5,0,5,5
Department of Justice - U.S. Marshals Service - M,7,6,13,13
Department of Justice - U.S. Marshals Service - L,0,0,0,0
Department of Labor - Bureau of Labor Statistics - H,0,0,0,0
Department of Labor - Bureau of Labor Statistics - M,12,1,13,13
Department of Labor - Bureau of Labor Statistics - L,0,0,0,0
Department of Labor - Enterprise Shared Services - H,0,0,0,0
Department of Labor - Enterprise Shared Services - M,38,11,49,49
Department of Labor - Enterprise Shared Services - L,2,0,2,2
Department of Labor - Job Corps - H,0,0,0,0
Department of Labor - Job Corps - M,0,2,2,2
Department of Labor - Job Corps - L,0,0,0,0
Department of Labor - Office of the Chief Financial Officer - H,0,0,0,0
Department of Labor - Office of the Chief Financial Officer - M,0,1,1,1
Department of Labor - Office of the Chief Financial Officer - L,0,0,0,0
Department of Labor - Office of the Inspector General - H,0,0,0,0
Department of Labor - Office of the Inspector General - M,3,2,5,5
Department of Labor - Office of the Inspector General - L,0,0,0,0
Department of State Office of Inspector General - Department of State Office of Inspector General - H,0,0,0,0
Department of State Office of Inspector General - Department of State Office of Inspector General - M,5,0,5,0
Department of State Office of Inspector General - Department of State Office of Inspector General - L,0,0,0,0
Department of State - Administration - H,0,1,1,0
Department of State - Administration - M,8,9,12,0
Department of State - Administration - L,14,1,2,0
"Department of State - Arms Control and International Security, Nonproliferation and Disarmament Fund, and Political Affairs - H",0,1,1,0
"Department of State - Arms Control and International Security, Nonproliferation and Disarmament Fund, and Political Affairs - M",0,2,2,0
"Department of State - Arms Control and International Security, Nonproliferation and Disarmament Fund, and Political Affairs - L",0,0,0,0
"Department of State - Arms Control, Verification and Compliance - H",0,0,0,0
"Department of State - Arms Control, Verification and Compliance - M",0,0,0,0
"Department of State - Arms Control, Verification and Compliance - L",0,0,0,0
Department of State - Comptroller & Global Financial Services - H,0,0,0,0
Department of State - Comptroller & Global Financial Services - M,17,3,20,0
Department of State - Comptroller & Global Financial Services - L,14,0,3,0
Department of State - Consular Affairs - H,11,6,17,0
Department of State - Consular Affairs - M,43,8,47,0
Department of State - Consular Affairs - L,8,0,8,0
Department of State - Counterterrorism and Countering Violent Extremism - H,0,0,0,0
Department of State - Counterterrorism and Countering Violent Extremism - M,0,1,1,0
Department of State - Counterterrorism and Countering Violent Extremism - L,0,0,0,0
Department of State - Democracy and Human Rights - H,0,0,0,0
Department of State - Democracy and Human Rights - M,0,0,0,0
Department of State - Democracy and Human Rights - L,1,0,0,0
